company_name,location_info,last_visit,days_ago,website_visits_score,activity_level
BNP Paribas,"Paris, France | Banking",2 maanden geleden,60,1,ROOD
Nijhof Groep,"Beemte-Broekland, Netherlands | Construction",2 maanden geleden,60,1,ROOD
Slagboom Vlaardingen Elektrotechniek,"Vlaardingen, Netherlands | Appliances, Electrical, and Electronics Manufacturing",2 maanden geleden,60,1,ROOD
Eurofiber,"Maarssen, Netherlands | IT Services and IT Consulting",2 maanden geleden,60,1,ROOD
KLM Royal Dutch Airlines,"Schiphol, Netherlands | Airlines and Aviation",2 maanden geleden,60,1,ROOD
Herwers BV,"Hengelo, Netherlands | Motor Vehicle Manufacturing",2 maanden geleden,60,1,ROOD
Klimaatgroep Holland,"Groningen, Netherlands",1 maand geleden,30,3,ROOD
Vooruit - IT in beweging,"Huizen, Netherlands | Computer Networking Products",1 maand geleden,30,3,ROOD
Clone Systems,"Philadelphia, United States of America | Computer and Network Security",30 dagen geleden,30,3,ROOD
Solarlux,"Melle, Germany | Wholesale Building Materials",30 dagen geleden,30,3,ROOD
Piet Brouwer Elektrotechniek,"Urk, Netherlands | Appliances, Electrical, and Electronics Manufacturing",30 dagen geleden,30,3,ROOD
Lassche & Keizer,"Oldenzaal, Netherlands | Industrial Machinery Manufacturing",28 dagen geleden,28,3,ROOD
A B & T,"Velp, Netherlands | Automation Machinery Manufacturing",28 dagen geleden,28,3,ROOD
Huisman & van Muijen,"'s-Hertogenbosch, Netherlands | Construction",23 dagen geleden,23,3,ROOD
TNO,"The Hague, Netherlands | Research Services",16 dagen geleden,16,4,ORANJE
Deltares,"Delft, Netherlands | Research Services",15 dagen geleden,15,4,ORANJE
A. de Jong Groep,"Schiedam, Netherlands | Utilities Administration",13 dagen geleden,13,6,ORANJE
Nagarro,"Munich, Germany | IT Services and IT Consulting",9 dagen geleden,9,6,ORANJE
Datasource Background Screening,"Blue Springs, United States of America | Human Resources Services",7 dagen geleden,7,8,GROEN
K3,"Waalwijk, Netherlands | IT Services and IT Consulting",7 dagen geleden,7,8,GROEN
BLR-Bimon,"Montfoort, Netherlands | Construction",6 dagen geleden,6,8,GROEN
Taxameter Centrale,"Duivendrecht, Netherlands | IT Services and IT Consulting",3 dagen geleden,3,8,GROEN
Ovimex,"Deventer, Netherlands | Printing Services",3 dagen geleden,3,8,GROEN
Focus Solutions,"Bunnik, Netherlands | Food and Beverage Services",1 jaar geleden,999,1,ROOD
CoffeeX,"Denpasar, Indonesia | Marketing Services",1 jaar geleden,999,1,ROOD
Peak Development Group,"Amersfoort, Netherlands | Investment Management",3 maanden geleden,90,1,ROOD
VINCI Energies NL,"Veghel, Netherlands",3 maanden geleden,90,1,ROOD
THE FWD CO.,"Eindhoven, Netherlands",1 jaar geleden,999,1,ROOD
Zuid-Nederlands Installatiebedrijf Z.N.I.,"Oosterhout, Netherlands | Construction",11 maanden geleden,330,1,ROOD
Saman Groep,"Zierikzee, Netherlands | Services for Renewable Energy",2 maanden geleden,60,1,ROOD
Instain installatietechniek,"Zoetermeer, Netherlands | Construction",16 dagen geleden,16,4,ORANJE
Vesting Groep Materieel,"Dalfsen, Netherlands | Investment Banking",2 dagen geleden,2,10,GROEN
Bravo Beveiliging B.V.,"Hengelo, Netherlands | Security and Investigations",11 maanden geleden,330,1,ROOD
CC Group,"Rijswijk, Netherlands | IT Services and IT Consulting",6 maanden geleden,180,1,ROOD
BRON | TECHNOLOGIE,"Apeldoorn, Netherlands",10 maanden geleden,300,1,ROOD
IGATE,"Mumbai, India | IT Services and IT Consulting",9 maanden geleden,270,1,ROOD
Solar Group,"Alkmaar, Netherlands | International Trade and Development",7 maanden geleden,210,1,ROOD
AGB Bouw,"Roosendaal, Netherlands | Construction",4 maanden geleden,120,1,ROOD
YouKnights,"Eindhoven, Netherlands | Business Consulting and Services",4 maanden geleden,120,1,ROOD
Te Kloeze Riooltechniek,"Terborg, Netherlands | Facilities Services",2 maanden geleden,60,1,ROOD
Totaal Installateur Brouwer B.V.,"Amsterdam, Netherlands | Construction",2 maanden geleden,60,1,ROOD
Berens Badkamers,"Woerden, Netherlands | Retail",2 maanden geleden,60,1,ROOD
Electrotechnisch Installatiebureau Van Schaik Zeist,"Zwolle, Netherlands | Building Structure and Exterior Contractors",2 maanden geleden,60,1,ROOD
Ladewig,"Gærum, Denmark",1 maand geleden,30,3,ROOD
Gerssen Elektrotechniek,"Eindhoven, Netherlands | Construction",2 maanden geleden,60,1,ROOD
Bosma & Bronkhorst B.V.,"Zaandam, Netherlands | Automation Machinery Manufacturing",8 maanden geleden,240,1,ROOD
Eltag Electric,"Woerden, Netherlands | Industrial Machinery Manufacturing",11 maanden geleden,330,1,ROOD
Exclusief.net,"Alkmaar, Netherlands | Technology, Information and Internet",7 maanden geleden,210,1,ROOD
Connectium B.V.,"Rijssen, Netherlands | IT Services and IT Consulting",4 maanden geleden,120,1,ROOD
DAEL Group,"Maasdijk, Netherlands | Telecommunications",3 maanden geleden,90,1,ROOD
Ministerie van Justitie en Veiligheid,"The Hague, Netherlands | Legal Services",2 maanden geleden,60,1,ROOD
van der Horst aannemers I vindingrijk bouwen,"Mill, Netherlands | Construction",1 maand geleden,30,3,ROOD
Acupunctuur H.Q. Wang,"The Hague, Netherlands | Hospitals and Health Care",3 dagen geleden,3,8,GROEN
V mediagroep,"Oosterhout, Netherlands | Design Services",11 maanden geleden,330,1,ROOD
In2doors,"Drachten, Netherlands | Retail",1 jaar geleden,999,1,ROOD
Van Gerwen Installaties,"Tilburg, Netherlands | Appliances, Electrical, and Electronics Manufacturing",5 maanden geleden,150,1,ROOD
Transportbedrijf van Duijn en Zonen B.V.,"De Lier, Netherlands | Truck Transportation",24 dagen geleden,24,3,ROOD
Peters Installatietechniek,"Zevenaar, Netherlands | Industrial Machinery Manufacturing",7 dagen geleden,7,8,GROEN
Stichting Proef lokaal bakkerij Rutgers,"Utrecht, Netherlands | Food and Beverage Manufacturing",1 jaar geleden,999,1,ROOD
Gardien Bedrijfsfysiotherapie,"Amsterdam, Netherlands | Hospitals and Health Care",11 maanden geleden,330,1,ROOD
Peet ICT B.V.,"Kamperland, Netherlands | IT Services and IT Consulting",9 maanden geleden,270,1,ROOD
